mgp_id,name,institution,year,dissertation,advisor1_id,advisor1_name,advisor2_id,advisor2_name,advisor3_id,advisor3_name,node_type
23182,Jonathan L. Block,Harvard University,1987,Excision in Cyclic Homology of Toplogical Algebras,7583,Raoul H. Bott,,,,,seed
23857,Ching-Li Chai,Harvard University,1984,Compactification of the Siegel Moduli Schemes,18755,David Bryant Mumford,,,,,seed
23196,Theodore Christopher Kenneth Chinburg,Harvard University,1980,Stark's Conjecture,7652,"John Torrence Tate, Jr.",32101,Harold Mead Stark,,,seed
23197,Christopher Brian Croke,The University of Chicago,1978,Some New Riemannian Invariants and the Structure of Complete Riemannian Manifolds,6508,Richard Kenneth Lashof,,,,,seed
23121,Dennis Michael DeTurck,University of Pennsylvania,1980,Existence of Metrics with Prescribed Ricci Tensors: Local Theory,23204,Jerry Lawrence Kazdan,,,,,seed
23198,Ron Yehuda Donagi,Harvard University,1977,On the Geometry of Grassmannians,26954,Phillip Augustus Griffiths,,,,,seed
33693,Charles Lawrence Epstein,New York University,1983,Spectral Theory of Geometrically Periodic Hyperbolic Three Manifolds,13415,Peter David Lax,,,,,seed
337653,Andrés Díez Herrero,,,,,,,,,,seed
23200,Peter John Freyd,Princeton University,1960,Functor Theory,7811,Norman Earl Steenrod,18944,David Alvin Buchsbaum,,,seed
258243,Nir Gadish,The University of Chicago,2019,"A general framework for representation stability, with applications to arrangements and arithmetic",18914,Benson Stanley Farb,191767,Jesse Wolfson,,,seed
39596,Robert Wayne Ghrist,Cornell University,1995,The Link of Periodic Orbits of a Flow,36976,Philip John Holmes,,,,,seed
48447,Angela Caroline Gibney,University of Texas at Austin,2000,"The Fibrations of the Moduli Space of Stable n-Pointed Curves of Genus g, M(sub g,n)",45889,Sean M. Keel,,,,,seed
23201,Herman R. Gluck,Princeton University,1961,The Embedding of Two-Spheres in the Four-Sphere,15155,Ralph Hartzler Fox,,,,,seed
39289,Antonella Grassi,Duke University,1990,Minimal Models of Elliptic Threefolds,41459,David Robert Morrison,,,,,seed
89109,Philip T. Gressman,Princeton University,2005,$L^p - L^q$ Estimates for Radon-Like Operators,6454,Elias Menachem Stein,,,,,seed
5627,James Haglund,University of Georgia,1993,"Compositions, Rook Placements, and Permutations of Vectors",5610,Earl Rodney Canfield,,,,,seed
23203,David Harbater,Massachusetts Institute of Technology,1978,Deformation Theory and the Fundamental Group in Algebraic Geometry,22863,Michael Artin,,,,,seed
68558,Julia Hartmann,Ruprecht-Karls-Universität Heidelberg,2002,On the Inverse Problem in Differential Galois Theory,29292,Heinrich Bernd Matzat,,,,,seed
149341,Ryan Hynd,"University of California, Berkeley",2010,Partial Differential Equations with Gradient Constraints Arising In The Optimal Control of Singular Stochastic Processes,32465,Lawrence Craig Evans,,,,,seed
23204,Jerry Lawrence Kazdan,New York University,1963,A Boundary Value Problem Arising in the Theory of Univalent Functions,8298,Paul Roesel Garabedian,,,,,seed
25063,Alexandre Aleksandrovich Kirillov,Lomonosov Moscow State University,1962,Unitary representations of nilpotent Lie groups,17512,Israel Moiseevich Gelfand,,,,,seed
61265,Daniel Reuben Krashen,University of Texas at Austin,2001,Birational Isomorphisms between Severi-Brauer Varieties,7980,David J. Saltman,,,,,seed
176251,Davi Máximo Alexandrino Nogueira,University of Texas at Austin,2013,On the blow-up of four-dimensional Ricci flow singularities,38238,Daniel Francis Knopf,,,,,seed
185111,Mona Merling,The University of Chicago,2014,Equivariant algebraic K-theory,6608,J. (Jon) Peter May,,,,,seed
131829,Yoichiro Mori,New York University,2006,A Three-Dimensional Model of Cellular Electrical Activity,33050,Charles Samuel Peskin,,,,,seed
206156,Yumeng Ou,Brown University,2016,Multi-parameter commutators and new function spaces of bounded mean oscillation,25304,Jill Catherine Pipher,,,,,seed
23078,Tony Pantev,University of Pennsylvania,1994,Comparison of Generalized Theta Functions,23198,Ron Yehuda Donagi,,,,,seed
45244,Robin Alexander Pemantle,Massachusetts Institute of Technology,1988,Random Processes with Reinforcement,18747,Persi W. Diaconis,,,,,seed
44604,Florian Pop,Ruprecht-Karls-Universität Heidelberg,1987,Galoische Kennzeichnung p-adisch abgeschlossener Körper,21608,Peter Roquette,,,,,seed
14866,Gerald Joseph Porter,Cornell University,1963,Higher Order Whitehead Products,8587,William Browder,,,,,seed
36309,Robert K. Powers,Virginia Polytechnic Institute and State University,1984,Chandrasekhar Algorithms for Distributed Parameter Systems,18103,John Allen Burns,,,,,seed
23207,Andre Scedrov,State University of New York at Buffalo,1981,Sheaves and Forcing and Their Metamathematical Applications,13713,John R. Myhill,,,,,seed
6581,Julius L. Shaneson,The University of Chicago,1968,Wall's Surgery Obstruction Groups for ZxG and Classification of 5-Manifolds,6677,Melvin Gordon Rothenberg,,,,,seed
91164,"Robert Mills Strain, III",Brown University,2005,Some Applications of an Energy Method in Collisional Kinetic Theory,4511,Yan Guo,,,,,seed
146899,Henry Towsner,Carnegie Mellon University,2008,Some Results In Logic And Ergodic Theory,32558,Jeremy David Avigad,,,,,seed
23209,"Frank Wilson Warner, III",Massachusetts Institute of Technology,1963,Conjugate Locus of a Riemannian Manifold,6405,Isadore Manuel Singer,,,,,seed
21781,Wolfgang Ziller,Rheinische Friedrich-Wilhelms-Universität Bonn,1975,Geschlossene Geodätische auf global symmetrischen und homogenen Räumen,21258,Wilhelm P.A. Klingenberg,,,,,seed
215810,Bhaswar Bhattacharya,Stanford University,2016,Power of Graph-Based Two-Sample Tests,18747,Persi W. Diaconis,,,,,seed
116823,Mirjam Cvetic,University of Maryland College Park,1984,Origin of Mass Hierarchies in Gauge Theories,41375,Jogesh Chandra Pati,,,,,seed
78759,Jean Henri Gallier,"University of California, Los Angeles",1978,Semantics and Correctness of Classes of Deterministic and Nondeterministic Recursive Programs,25274,Sheila Adele Greibach,104001,Emily Perlinski Friedman,,,seed
253311,Jonathan Jacob Heckman,Harvard University,2009,F-theory approach to particle physics,18845,Cumrun Vafa,,,,,seed
286041,Jiaoyang Huang,Harvard University,2019,Spectral Statistics of Random d-Regular Graphs,30832,Horng-Tzer Yau,,,,,seed
117661,Randall David Kamien,Harvard University,1992,Directed Line Liquids,117660,David Robert Nelson,,,,,seed
82550,Sampath Kumar Kannan,"University of California, Berkeley",1990,Program Checkers for Algebraic Problems,13373,Manuel Blum,,,,,seed
70041,Joshua Plotkin,Princeton University,2003,Aggregation in Ecology and Evolutionary Biology,13369,Simon Asher Levin,70042,Martin Andreas Nowak,,,seed
132880,Pedro Ponte Castaneda,Harvard University,1986,Asymptotic Fields in Steady Crack Growth with Linear Strain Hardening,14288,Bernard Budiansky,,,,,seed
158643,Celia Reina Romo,California Institute of Technology,2010,Multiscale modeling and simulation of damage by void nucleation and growth,112604,Michael Ortiz,,,,,seed
296262,Weijie Su,Stanford University,2016,Multiple Testing and Minimax Estimation in Sparse Linear Regression,39179,Emmanuel Jean Candès,,,,,seed
82945,Scott Weinstein,The Rockefeller University,1975,Some Applications of Kripke Models to Formal Systems,13743,Saul Aaron Kripke,,,,,seed
318490,Aaron William Anderson,"University of California, Los Angeles",2024,Distality in Combinatorics and Continuous Logic,173530,Artem Chernikov,,,,,seed
316245,Shreya Arya,Duke University,2024,Geometry of Stratified Spaces for the Analysis of Complex Data,143104,Sayan Mukherjee,44194,Ezra Miller,,,seed
280997,Ahmed Bou-Rabee,The University of Chicago,2022,Symmetries and Patterns in Sandpiles,149340,Charles K. Smart,,,,,seed
306146,Jingwen Chen,The University of Chicago,2023,Mean Curvature Flow on the Three-Sphere,99678,Andre da Silva Graca Arroja Neves,,,,,seed
290266,Andrew I. Cooper,University of Liverpool,1994,,,,,,,,seed
223775,Brett Frankel,University of Pennsylvania,2016,Representations of fundamental groups of abelian varieties in characteristic p,23196,Theodore Christopher Kenneth Chinburg,,,,,seed
271178,Shira Gilat,Bar-Ilan University,2019,Topics in central simple algebras,44618,Uzi Vishne,,,,,seed
310567,Jianqi Liu,"University of California, Santa Cruz",2023,,109954,Chongying Dong,,,,,seed
152995,Mira Alexander Peterka,"University of California, Berkeley",2010,Finitely-Generated Projective Modules over Theta-Deformed Spheres,30549,Marc Aristide Rieffel,,,,,seed
255471,Patrick Shields,Drexel University,2018,"Inflated Weight, a Dual Approach to Structure Constants for $K–$Theory of Grassmannians, and a Charge Statistic for Shifted Tableaux",38083,Jennifer Leigh Morse,,,,,seed
161432,Jayendra G. Venkateswaran,University of Florida,2007,Indexing Techniques for Metric Databases with Costly Searches,132194,Tamer Kahveci,,,,,seed
308221,Bohan Zhou,"University of California, Davis",2020,From Optimal Transport to Optimal Mixing Flows and Vice Versa,74059,Qinglan Xia,,,,,seed
269030,Van Duong Dinh,Université Paul Sabatier - Toulouse III,2019,Strichartz estimates and the nonlinear Schrödinger-type equations,,,,,,,seed
4445,Robert Kendall Lazarsfeld,Brown University,1980,Branched Coverings of Projective Space,10281,William Fulton,,,,,seed
156108,Eliyahu Eli Matzri,Bar-Ilan University,2009,The structure of division algebras,9415,Louis Halle (Eliezer) Rowen,44618,Uzi Vishne,,,seed
138978,Sinem Celik Onaran,Middle East Technical University,2009,Legendrian Knots and Open Book Decompositions,15550,Mustafa Korkmaz,30245,John Boyd Etnyre,,,seed
7980,David J. Saltman,Yale University,1976,Azumaya Algebras over Rings of Characteristic p,4291,Nathan Jacobson,,,,,seed
47213,Mark Allan Skandera,Massachusetts Institute of Technology,2000,Chain Polynomials and Permutation Statistics,18025,Richard Peter Stanley,,,,,seed
8588,James Dillon Stasheff,Princeton University and University of Oxford,1961,"Homotopy Associativity of H-Spaces, On Certain Problems in Homotopy Theory",4350,John Coleman Moore,22474,Ioan Mackenzie James,,,seed
7583,Raoul H. Bott,Carnegie Mellon University,1949,Electrical Network Theory,13113,Richard James Duffin,,,,,ancestor
219903,Benjamin Albert,University of Pennsylvania,2017,Renormalization on manifolds with boundary and field theory on twistor spaces,23182,Jonathan L. Block,,,,,descendant
107648,Calder Daenzer,University of Pennsylvania,2007,A Groupoid Approach to Noncommutative T-Duality,23182,Jonathan L. Block,,,,,descendant
183505,Eric O. Korman,University of Pennsylvania,2014,Elliptic involutive structures and generalized Higgs algebroids,23182,Jonathan L. Block,,,,,descendant
23048,Andrey Lazarev,University of Pennsylvania,1997,Spectral Sheaves in Stable Homotopy,23182,Jonathan L. Block,,,,,descendant
219873,Hua Qiang,University of Pennsylvania,2017,BOTT-CHERN CHARACTERISTIC FORMS AND INDEX THEOREMS FOR COHERENT SHEAVES ON COMPLEX MANIFOLDS,23182,Jonathan L. Block,,,,,descendant
